,Year,Magnitude
0,1965,6.0141592920354
1,1966,6.042274678111588
2,1967,6.003921568627454
3,1968,6.081848184818479
4,1969,6.009937888198749
5,1970,6.037209302325578
6,1971,5.972538860103624
7,1972,5.943814432989688
8,1973,5.807088607594931
9,1974,5.828591549295768
10,1975,5.847890818858552
11,1976,5.826174496644292
12,1977,5.784172661870496
13,1978,5.819999999999992
14,1979,5.823906705539351
15,1980,5.849552238805968
16,1981,5.863418530351436
17,1982,5.816764705882348
18,1983,5.878690744920989
19,1984,5.850470085470075
20,1985,5.894595744680846
21,1986,5.857417355371893
22,1987,5.904498977505106
23,1988,5.849060542797486
24,1989,5.8446088794925934
25,1990,5.8616603053434995
26,1991,5.883177570093455
27,1992,5.881541353383449
28,1993,5.8888172043010725
29,1994,5.877411067193667
30,1995,5.9043293718166305
31,1996,5.872037037037031
32,1997,5.859868421052616
33,1998,5.868814432989684
34,1999,5.890605381165909
35,2000,5.858227848101258
36,2001,5.878329571106089
37,2002,5.866216216216208
38,2003,5.885731958762881
39,2004,5.850910683012252
40,2005,5.85534709193244
41,2006,5.859645669291335
42,2007,5.886019736842098
43,2008,5.908858267716533
44,2009,5.867117988394575
45,2010,5.899642857142855
46,2011,5.864656381486661
47,2012,5.872808988764037
48,2013,5.881778741865502
49,2014,5.886916666666659
50,2015,5.913071748878919
51,2016,5.892835820895517
