,Year,Magnitude
0,1965,339
1,1966,233
2,1967,255
3,1968,303
4,1969,322
5,1970,344
6,1971,386
7,1972,388
8,1973,395
9,1974,355
10,1975,403
11,1976,447
12,1977,417
13,1978,395
14,1979,343
15,1980,335
16,1981,313
17,1982,340
18,1983,443
19,1984,468
20,1985,470
21,1986,484
22,1987,489
23,1988,479
24,1989,473
25,1990,524
26,1991,428
27,1992,532
28,1993,465
29,1994,506
30,1995,589
31,1996,540
32,1997,456
33,1998,388
34,1999,446
35,2000,553
36,2001,443
37,2002,444
38,2003,485
39,2004,571
40,2005,533
41,2006,508
42,2007,608
43,2008,508
44,2009,517
45,2010,560
46,2011,713
47,2012,445
48,2013,461
49,2014,480
50,2015,446
51,2016,469
